fitness,r,K,s,u,v,functionCalls 
0.0343584,1.30222,0.996575,0.500734,0.701223,1.60413,8950 
0.0397,1.34909,1.04104,0.542058,0.650364,1.48675,1000000 
0.0345102,1.32952,1.01226,0.519085,0.677753,1.55769,5450 
0.0348159,1.31522,1.01081,0.512156,0.685328,1.56342,5800 
0.0345451,1.27682,0.987278,0.483968,0.718723,1.64081,4350 
0.0367692,1.33738,1.03044,0.531047,0.662908,1.51224,1000000 
0.0348133,1.31636,1.01977,0.515448,0.680146,1.54609,803850 
0.0349077,1.23643,0.959751,0.45391,0.760912,1.72887,171650 
0.040963,1.35392,1.04572,0.546628,0.645246,1.47638,1000000 
0.0347284,1.24306,0.965367,0.457915,0.757169,1.71632,353350 
0.0345,1.24679,0.961936,0.458951,0.754147,1.71956,6950 
0.0366421,1.33724,1.02841,0.530183,0.664059,1.51668,1000000 
0.0349825,1.23932,0.959353,0.456195,0.758233,1.7276,352800 
0.0349588,1.24063,0.960226,0.456755,0.757916,1.72711,362050 
0.0348951,1.23689,0.96009,0.454125,0.760736,1.72842,587800 
0.0349911,1.31991,1.02037,0.51694,0.679435,1.5436,987000 
0.038029,1.34378,1.03198,0.535484,0.658257,1.50658,1000000 
0.0339049,1.29054,0.997082,0.494573,0.706305,1.60625,415500 
0.0413994,1.35561,1.04725,0.548019,0.643938,1.47309,1000000 
0.0325589,1.31437,1.003,0.506629,0.69214,1.58394,685100 
0.0348486,1.27517,0.988331,0.483552,0.721428,1.64195,5650 
0.0349204,1.32574,1.02411,0.521388,0.673358,1.53265,729600 
0.0347061,1.31602,1.01882,0.513262,0.681137,1.55353,298150 
0.0424572,1.35936,1.04997,0.550702,0.641613,1.46754,1000000 
0.034975,1.23774,0.959278,0.454602,0.760237,1.72959,253350 
0.0402279,1.35132,1.0424,0.543885,0.648375,1.4834,1000000 
0.0347794,1.24351,0.963614,0.458049,0.757289,1.72047,8950 
0.0345518,1.24332,0.960666,0.458775,0.754851,1.72242,169050 
0.0431097,1.36446,1.04211,0.551323,0.641718,1.48049,1000000 
0.04438,1.36594,1.05615,0.555748,0.637273,1.45563,1000000 
